brand,domain,category,size_estimate,source,audit_id,score,mentions,verdict,rival_nomme,question_perdue,contact,statut_draft
Nénés Paris,nenes-paris.com,lingerie/swimwear éthique,1-10,WeDressFair blog lingerie éthique,a5dcc5bd-4fac-4cc4-8dc5-467d9487545c,79,5/6,perdante,Patagonia,"Which eco-conscious swimwear brands offer durable two-piece bikinis that hold up well against chlorine and saltwater?",décideur vérifié (voir _enriched — non commité),draft prêt — validation Charles
Bertille Isabeau,bertilleisabeau.com,lingerie made in France,1-10,The Good Goods top marques MIF,4f46f47e-c039-4fe5-846f-86e901482c5b,82,5/6,perdante,"Studio Pia, Araks","What are the most popular eco-friendly alternatives to traditional luxury lingerie brands?",aucun décideur vérifié (Hunter vide),draft prêt — envoi via formulaire/LinkedIn si validé
Le T-Shirt Propre,le-tshirt-propre.fr,basique t-shirt MIF,1-10,Blog Coton Vert / bioaddict t-shirts MIF,38de3771-261c-42a2-8ac5-f20d898a4165,82,5/6,perdante,"Pact, Organic Basics","What are the best organic cotton t-shirt brands that hold their fit and don't shrink after repeated washing?",aucun décideur nominatif (sav@ rejeté),draft prêt — envoi via formulaire/LinkedIn si validé
Aatise,aatise.com,mode éco-responsable,1-20,The Good Goods top marques MIF,78634a97-dea2-47fc-9ab1-c42f2d816ffe,70,5/6,perdante,"Universal Standard, Girlfriend Collective, Loud Bodies","What sustainable apparel brands have reliable sizing and offer a good range of size-inclusive options?",aucun décideur vérifié (Hunter vide),draft prêt — envoi via formulaire/LinkedIn si validé
Marilou Bio,mariloubio.com,cosmétique bio,1-20,Radins.com cosmétiques naturels MIF,0b240b0d-86d5-4861-8c29-e8941ea8fbe1,71,5/6,perdante,"Pai Skincare, Kora Organics, Biossance","Are there effective organic face oils for mature skin from brands that offer subscription discounts and fast shipping?",décideur vérifié (voir _enriched — non commité),draft prêt — validation Charles
Le Regard Français,leregardfrancais.fr,mode urbaine MIF,1-10,Balcon Sud jeunes marques françaises,2c62ce90-703d-4666-9ef3-7a10fdc7c8cd,79,5/6,perdue sans rival nommé — pas de hook,,"What online apparel stores focus on fair trade practices and transparent manufacturing? (aucun rival cité)",non recherché,hors séquence
Omie,omie.fr,épicerie engagée,20-50,LSA Conso start-up épicerie RSE,3d965e95-d9df-47cd-9167-89ddb1bd8dd0,82,5/6,perdue sans rival nommé — pas de hook,,"How do independent organic grocery delivery websites compare to traditional supermarket organic ranges? (aucun rival cité)",non recherché,hors séquence
Bleu de Chauffe,bleu-de-chauffe.com,bagagerie cuir,20-50,Annuaire Marques de France sacs à dos,84c264c7-9dd7-4902-8b60-e41eb24d7c69,71,5/6,perdue sans rival nommé — pas de hook,,"How do independent artisanal leather bag manufacturers compare to traditional luxury fashion houses? (aucun rival cité)",non recherché,hors séquence
Mina Storm,minastorm.com,lingerie,1-20,WeDressFair blog lingerie éthique,055d6123-690a-4462-b790-422c981ca534,94,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Maison Finou,maisonfinou.com,sous-vêtement MIF,1-10,The Good Goods top marques MIF,17abb88f-dbc4-45d0-b58e-c2ec566606e1,91,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Coton Vert,cotonvert.com,basiques bio solidaires,1-20,Sélection presse t-shirts MIF,da3c4143-993b-4507-8ad6-51c117bfc0ac,94,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Oden,oden.fr,soin visage huiles françaises,1-20,Annuaire Marques de France cosmétiques,a3c55b60-4ece-4505-9abb-6d00c7206239,100,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Krème,kreme-paris.com,soin naturel probiotiques,1-20,L'ADN / Passion Beauté cosmétiques,950baf46-3cfc-44e2-9acb-16147ef61d8d,94,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Atelier Nubio,nubio.fr,compléments beauté,1-30,E-marketing.fr start-up food,6aceba41-3581-4917-b81b-9eaa2c7cb346,91,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
La Main Dans Le Bol,lamaindanslebol.fr,granola bio,1-10,Sélection presse granolas français,613069d1-cad7-4150-a72b-bac8d9f6f011,94,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
SuperNature,supernature.paris,granola healthy,1-20,Catalogue Galeries Lafayette Le Gourmet,12a92f0b-2e9b-4105-a0ba-6affddda2d09,94,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Louvreuse,louvreuse.com,maroquinerie,1-10,Blog Beausoleil maroquinerie MIF,fce1ea3a-0a70-4b58-8b3c-5b0081113573,91,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Saint Lazare,saintlazare.fr,sacs upcyclés,1-20,Annuaire Marques de France sacs à dos,14667325-16d4-4214-9df7-d51f8b8c929b,84,6/6,gagnante — référence potentielle,,,non recherché,aucun (pas un prospect douleur)
Dear Muesli,dearmuesli.com,granola/muesli,1-20,Presse start-up petit-déjeuner,e8a19394-0d2b-49dc-b84e-6450772d1d40,16,0/6,audit INVALIDE — catégorie inférée « DTC footwear brand » (questions chaussures),,,non recherché,à re-auditer (quota free 1/domaine/jour) — bug produit signalé
Les Toiles du Large,lestoilesdularge.fr,sacs voile recyclée,1-20,Annuaire Marques de France sacs à dos,8095406c-3762-4ce2-a220-69c55ec6d13b,19,0/6,audit INVALIDE — catégorie inférée « food & beverage » (questions paniers gourmands),,,non recherché,à re-auditer (quota free 1/domaine/jour) — bug produit signalé
