brand,website,email,first_name
Necessaire,https://necessaire.com,,
Youth To The People,https://youthtothepeople.com,,
Tower 28,https://tower28beauty.com,,
Cymbiotika,https://cymbiotika.com,,
Arrae,https://arrae.com,,
De Soi,https://desoi.com,,
Sanzo,https://drinksanzo.com,,
Monos,https://monos.com,,
Dagne Dover,https://dagnedover.com,,
Jinx,https://thinkjinx.com,,
Spot and Tango,https://spotandtango.com,,
Material Kitchen,https://materialkitchen.com,,
Hedley and Bennett,https://hedleyandbennett.com,,
Versed,https://versedskin.com,,
Birdies,https://birdies.com,,
